JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450000.3,10.5,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450000.3694,9.4,,,Vis.,PUJ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450000.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450001.3,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.3,10.6,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.3,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450002.6,10.5,,,Vis.,WDN,,,,,,,,V,,,,T UMI,,STD,,,,
2450003.3,11.3,,,Vis.,ZLT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450003.5,10.0,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450003.5,9.6,,,Vis.,SJQ,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450004.2743,10.5,,,Vis.,MZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450004.5,8.3,,,Vis.,PZS,,,,,,,,T,,,,T UMI,MCSE,STD,,,,
2450005.3,10.6,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450006.3,11.0,,,Vis.,EPE,W,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450006.3,10.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450009.3,11.3,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450011.2,11.3,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450011.5,11.0,,,Vis.,PZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450011.6,11.2,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450014.4,11.6,,,Vis.,SHS,,,,,,,,V,,,,T UMI,,STD,,,,
2450014.4,10.2,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450014.5,11.5,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450015.3,11.2,,,Vis.,BMU,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450015.3,11.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450015.5,11.2,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450016.4,11.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450023.3,11.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450026.7,12.0,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450035.2,12.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450078.3,13.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450078.5,13.8,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450094.5,13.1,,,Vis.,SBT,,,,,,,,T,,,,T UMI,MCSE,STD,,,,
2450096.6,13.9,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450098.5,13.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450105.5,13.0,,,Vis.,FJH,,,,,,,,T,,,,T UMI,KNVWS,STD,,,,
2450106.4,13.6,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450112.7,13.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450131.5,13.4,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450134.5,12.5,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450135.7,12.6,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450146.5,11.9,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450150.4,11.8,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450150.4,11.9,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450152.4,11.3,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450152.4,11.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450152.7,11.7,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450154.29,11.2,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450154.4,11.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450154.6,11.5,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450157.42,11.3,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450163.3,10.9,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450163.7,11.9,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450165.7,12.4,,,Vis.,KRS,,,,,,,,T,,,,T UMI,,STD,,,,
2450168.3,11.3,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450170.3,10.1,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450170.41,10.7,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450173.4,11.4,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450173.4,11.1,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450174.3,10.1,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450175.3,11.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450175.3,11.4,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450176.3,11.1,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450176.5500,11.2,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450178.7,10.8,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450180.4,10.9,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450180.5,10.9,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450180.7,11.4,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450181.38,10.7,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450183.7,10.2,,,Vis.,RSH,,,,,,,,V,,,,T UMI,,STD,,,,
2450185.4,10.7,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450185.5,10.5,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450186.3,11.0,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450187.426,10.5,,,Vis.,VDL,,,,,,,,V,,,,T UMI,,STD,,,,
2450187.5,11.5,,,Vis.,JRJ,,,,,,,,T,,,,T UMI,KNVWS,STD,,,,
2450188.3,9.7,,,Vis.,VFK,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450188.4,10.7,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450189.47,10.4,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450189.7,10.4,,,Vis.,RSH,,,,,,,,V,,,,T UMI,,STD,,,,
2450190.384,11.4,,,Vis.,DPA,,,,,,,,T,,,,T UMI,,STD,,,,
2450190.4,10.4,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450192.4,10.1,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450193.3,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450193.4,10.6,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450193.5,11.3,,,Vis.,SBT,,,,,,,,T,,,,T UMI,MCSE,STD,,,,
2450194.3,9.6,,,Vis.,VAN,,,,,,,,V,,,,T UMI,,STD,,,,
2450194.3,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450194.539,10.2,,,Vis.,KHL,,,,,,,,V,,,,T UMI,,STD,,,,
2450194.6,10.0,,,Vis.,EPE,W,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450195.41,10.3,,,Vis.,MPR,,,,,,,,V,,,,T UMI,,STD,,,,
2450197.6,10.2,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450198.4,10.1,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450198.4,10.1,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450198.4,10.1,,,Vis.,RMU,,,,,,,,V,,,,T UMI,,STD,,,,
2450198.467,9.8,,,Vis.,VDL,,,,,,,,V,,,,T UMI,,STD,,,,
2450199.4,10.0,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450200.3,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450201.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450201.6,9.6,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450202.4,10.1,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450202.5,9.7,,,Vis.,MYL,,,,,,,,V,,,,T UMI,,STD,,,,
2450203.3,9.9,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450205.7,9.6,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450206.3,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450206.7,9.7,,,Vis.,RSH,K,,,,,,,V,,,,T UMI,,STD,,,,
2450208.438,9.5,,,Vis.,VDL,,,,,,,,V,,,,T UMI,,STD,,,,
2450208.6,9.6,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450209.5,9.8,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450209.6,9.5,,,Vis.,EPE,M,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450210.4,9.8,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450210.7403,10.0,,,Vis.,HSG,,,,,,,,V,,,,T UMI,,STD,,,,
2450211.5,9.6,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450214.4,9.7,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450215.6,9.7,,,Vis.,RSH,K,,,,,,,V,,,,T UMI,,STD,,,,
2450216.6,9.6,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450217.5,9.5,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450217.8229,9.8,,,Vis.,HK,,,,,,,,V,,,,T UMI,,STD,,,,
2450219.4,9.5,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450219.6,9.5,,,Vis.,MLI,,,,,,,,V,,,,T UMI,,STD,,,,
2450221.7,9.5,,,Vis.,HOA,,,,,,,,V,,,,T UMI,,STD,,,,
2450221.7,9.6,,,Vis.,WDN,,,,,,,,V,,,,T UMI,,STD,,,,
2450222.4,9.3,,,Vis.,KOS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450222.4,9.4,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450222.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450222.5,9.3,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450222.6,9.5,,,Vis.,RSH,K,,,,,,,V,,,,T UMI,,STD,,,,
2450222.7,9.5,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450224.4701,9.4,,,Vis.,MZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450224.5,9.5,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450224.6,9.6,,,Vis.,MKJ,,,,,,,,V,,,,T UMI,,STD,,,,
2450225.4,9.6,,,Vis.,VED,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450225.6,9.8,,,Vis.,BKN,,,,,,,,V,,,,T UMI,,STD,,,,
2450225.7,9.5,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450225.7,9.6,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450226.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450226.6,9.6,,,Vis.,MXR,,,,,,,,V,,,,T UMI,,STD,,,,
2450228.4,9.5,,,Vis.,SSW,,,,,,,,V,,,,T UMI,,STD,,,,
2450232.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450232.5,9.4,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450233.7,9.2,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450234.4,9.6,,,Vis.,VAN,M,,,,,,,V,,,,T UMI,,STD,,,,
2450234.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450234.6,9.4,,,Vis.,MKJ,,,,,,,,V,,,,T UMI,,STD,,,,
2450234.6,9.3,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450235.4,9.7,,,Vis.,VAN,M,,,,,,,V,,,,T UMI,,STD,,,,
2450235.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450235.6,9.5,,,Vis.,MXR,,,,,,,,V,,,,T UMI,,STD,,,,
2450236.4,9.5,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450236.7236,9.7,,,Vis.,HK,,,,,,,,V,,,,T UMI,,STD,,,,
2450237.3,9.2,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450239.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450240.4,9.5,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450240.4,9.5,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450240.4,9.5,,,Vis.,SSW,K,,,,,,,V,,,,T UMI,,STD,,,,
2450240.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450241.4,9.5,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450241.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450241.444,10.0,,,Vis.,DPA,,,,,,,,V,,,,T UMI,,STD,,,,
2450241.5,9.7,,,Vis.,FRF,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450241.6,9.5,,,Vis.,HE,,,,,,,,V,,,,T UMI,,STD,,,,
2450241.7319,9.5,,,Vis.,HK,,,,,,,,V,,,,T UMI,,STD,,,,
2450242.4,9.0,,,Vis.,SLQ,,,,,,,,T,,,,T UMI,AFOEV,STD,,,,
2450242.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450243.4,10.3,,,Vis.,WFR,,,,,,,,T,,,,T UMI,,STD,,,,
2450243.6,9.4,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450244.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450244.7,9.7,,,Vis.,WKM,,,,,,,,V,,,,T UMI,,STD,,,,
2450246.4,9.3,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450246.4,9.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450246.5,9.5,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450246.6,9.5,,,Vis.,RSH,K,,,,,,,V,,,,T UMI,,STD,,,,
2450247.7,9.6,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450248.4,9.5,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450248.5,9.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450248.5,9.6,,,Vis.,SSW,K,,,,,,,V,,,,T UMI,,STD,,,,
2450248.7,9.7,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450249.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450249.4,10.2,,,Vis.,WFR,,,,,,,,V,,,,T UMI,,STD,,,,
2450249.5,9.6,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450249.6,9.6,,,Vis.,MKJ,,,,,,,,V,,,,T UMI,,STD,,,,
2450249.7,9.7,,,Vis.,MLI,,,,,,,,V,,,,T UMI,,STD,,,,
2450250.4,9.8,,,Vis.,VED,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450250.4,10.1,,,Vis.,WFR,,,,,,,,V,,,,T UMI,,STD,,,,
2450251.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450251.5,9.6,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450252.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450253.4,9.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450254.7,9.9,,,Vis.,RSH,K,,,,,,,V,,,,T UMI,,STD,,,,
2450255.5,10.1,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450256.3,9.8,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450256.4,9.7,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450256.6,<9.6,,,Vis.,MXR,,,,,,,,V,,,,T UMI,,STD,,,,
2450256.7,9.7,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450258.6,9.8,,,Vis.,HE,,,,,,,,V,,,,T UMI,,STD,,,,
2450258.6,9.8,,,Vis.,MOL,,,,,,,,V,,,,T UMI,,STD,,,,
2450260.4,9.8,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450260.6,9.8,,,Vis.,HE,,,,,,,,V,,,,T UMI,,STD,,,,
2450263.7,10.1,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450266.3,9.9,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450266.6,10.6,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450268.4,10.7,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450269.4159,10.2,,,Vis.,MZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450269.5,10.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450270.6,11.2,,,Vis.,WC,,,,,,,,V,,,,T UMI,,STD,,,,
2450271.5,10.6,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450274.6,10.7,,,Vis.,HOA,,,,,,,,V,,,,T UMI,,STD,,,,
2450275.5,11.0,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450275.6,11.8,,,Vis.,MKJ,,,,,,,,V,,,,T UMI,,STD,,,,
2450275.6,11.7,,,Vis.,MLI,,,,,,,,V,,,,T UMI,,STD,,,,
2450276.4,11.4,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450277.5,11.5,,,Vis.,OCV,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450278.4,10.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450279.4,11.2,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450280.4,11.5,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450281.5,11.7,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450283.4432,11.2,,,Vis.,TRO,K,,,,,,,V,,,,T UMI,,STD,,,,
2450284.4,11.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450284.4,12.0,,,Vis.,EPE,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450284.7,11.2,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450285.449,10.6,,,Vis.,SLQ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450285.6,11.4,,,Vis.,MKJ,,,,,,,,V,,,,T UMI,,STD,,,,
2450286.427,10.7,,,Vis.,SLQ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450287.415,<9.9,,,Vis.,SLQ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450294.4,12.1,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450294.4,11.7,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450297.5,12.0,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450297.5,11.9,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450297.6,13.1,,,Vis.,KRS,,,,,,,,T,,,,T UMI,,STD,,,,
2450300.4,12.3,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450301.3743,11.9,,,Vis.,MZS,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450302.4,12.4,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450304.4,12.4,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450304.459,11.7,,,Vis.,SLQ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450305.3,12.4,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450305.4,12.6,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450306.4,12.4,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450306.438,11.8,,,Vis.,SLQ,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450306.5,12.3,,,Vis.,SBT,,,,,,,,V,,,,T UMI,MCSE,STD,,,,
2450309.5,12.8,,,Vis.,SHS,,,,,,,,V,,,,T UMI,,STD,,,,
2450311.4,12.8,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450313.4,12.4,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450314.3,12.4,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450314.4,12.4,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450315.4,12.8,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450315.4,12.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450315.4,12.6,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450316.4,13.0,,,Vis.,VFK,,,,,,,,V,,,,T UMI,AFOEV,STD,,,,
2450316.48,13.0,,,Vis.,GRL,,,,,,,,V,,,,T UMI,NAS,STD,,,,
2450317.6,13.1,,,Vis.,MLI,,,,,,,,V,,,,T UMI,,STD,,,,
2450322.4,13.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450323.3,12.6,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450329.4,13.5,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450331.42,13.5,,,Vis.,GRL,,,,,,,,V,,,,T UMI,NAS,STD,,,,
2450332.4,13.7,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450334.3,13.8,,,Vis.,FJH,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450334.4,13.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450335.3,13.4,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450338.6,13.4,,,Vis.,KRS,,,,,,,,V,,,,T UMI,,STD,,,,
2450341.3,13.8,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450345.4,13.9,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450346.6,13.9,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450347.3,13.5,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450359.3,14.1,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450360.6,13.6,,,Vis.,KRS,,,,,,,,T,,,,T UMI,,STD,,,,
2450361.275,13.6,,,Vis.,DPA,,,,,,,,T,,,,T UMI,,STD,,,,
2450363.5,<12.9,,,Vis.,SHS,,,,,,,,V,,,,T UMI,,STD,,,,
2450364.4,14.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450365.39,14.0,,,Vis.,GRL,,,,,,,,V,,,,T UMI,NAS,STD,,,,
2450368.5972,13.2,,,Vis.,HK,,,,,,,,T,,,,T UMI,,STD,,,,
2450370.3,14.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450371.30,<9.9,,,Vis.,LTO,,,,,,,,V,,,,T UMI,,STD,,,,
2450376.2,14.0,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450376.5,14.1,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450380.3,14.0,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450386.2,13.8,,,Vis.,MGE,,,,,,,,V,,,,T UMI,,STD,,,,
2450393.3,13.5,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450397.48,13.5,,,Vis.,GRL,,,,,,,,V,,,,T UMI,NAS,STD,,,,
2450401.5,13.1,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450402.4,13.1,,,Vis.,JRJ,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450411.2,12.7,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
2450415.55,12.6,,,Vis.,GRL,,,,,,,,V,,,,T UMI,NAS,STD,,,,
2450422.4,12.2,,,Vis.,CMG,,,,,,,,V,,,,T UMI,KNVWS,STD,,,,
